D,NN_E_s0.05,Num_E_s0.05,NN_E_s0.10,Num_E_s0.10,NN_E_s0.15,Num_E_s0.15,NN_E_s0.20,Num_E_s0.20,NN_E_s0.25,Num_E_s0.25
1.02000000e+00,4.45769167e+00,4.36224978e+00,5.51793528e+00,5.38873523e+00,6.04083252e+00,5.87030217e+00,6.37392187e+00,6.19155732e+00,6.61290216e+00,6.38921417e+00
1.04000000e+00,4.35847998e+00,4.26272880e+00,5.39205885e+00,5.26398311e+00,5.90088511e+00,5.73309111e+00,6.22467995e+00,6.04579651e+00,6.45681286e+00,6.23809490e+00
1.06000000e+00,4.26185465e+00,4.16606955e+00,5.26949549e+00,5.14290627e+00,5.76470518e+00,5.59998115e+00,6.07950211e+00,5.90443848e+00,6.30504370e+00,6.09157145e+00
1.08000000e+00,4.16770458e+00,4.07215734e+00,5.15016794e+00,5.02535417e+00,5.63217068e+00,5.47080212e+00,5.93824863e+00,5.76729879e+00,6.15739822e+00,5.94945012e+00
1.10000000e+00,4.07595634e+00,3.98088387e+00,5.03394079e+00,4.91118474e+00,5.50311565e+00,5.34539349e+00,5.80078030e+00,5.63420354e+00,6.01375580e+00,5.81154828e+00
1.12000000e+00,3.98651886e+00,3.89214675e+00,4.92070007e+00,4.80026374e+00,5.37747145e+00,5.22360370e+00,5.66697502e+00,5.50498856e+00,5.87398815e+00,5.67769358e+00
1.14000000e+00,3.89931250e+00,3.80584909e+00,4.81036472e+00,4.69246426e+00,5.25508451e+00,5.10528945e+00,5.53669596e+00,5.37949872e+00,5.73791122e+00,5.54772320e+00
1.16000000e+00,3.81426144e+00,3.72189914e+00,4.70280838e+00,4.58766615e+00,5.13586044e+00,4.99031519e+00,5.40982819e+00,5.25758730e+00,5.60546923e+00,5.42148318e+00
1.18000000e+00,3.73128915e+00,3.64020988e+00,4.59797001e+00,4.48575559e+00,5.01969528e+00,4.87855253e+00,5.28625393e+00,5.13911538e+00,5.47649574e+00,5.29882779e+00
1.20000000e+00,3.65033221e+00,3.56069876e+00,4.49574995e+00,4.38662464e+00,4.90649652e+00,4.76987978e+00,5.16589880e+00,5.02395137e+00,5.35090065e+00,5.17961898e+00
1.22000000e+00,3.57133746e+00,3.48328736e+00,4.39607573e+00,4.29017085e+00,4.79616880e+00,4.66418152e+00,5.04862070e+00,4.91197045e+00,5.22856236e+00,5.06372587e+00
1.24000000e+00,3.49423480e+00,3.40790115e+00,4.29885387e+00,4.19629693e+00,4.68860769e+00,4.56134814e+00,4.93434620e+00,4.80305415e+00,5.10940599e+00,4.95102428e+00
1.26000000e+00,3.41896009e+00,3.33446922e+00,4.20402336e+00,4.10491038e+00,4.58375883e+00,4.46127550e+00,4.82298088e+00,4.69708997e+00,4.99331331e+00,4.84139625e+00
1.28000000e+00,3.34547567e+00,3.26292408e+00,4.11151838e+00,4.01592319e+00,4.48153019e+00,4.36386456e+00,4.71444511e+00,4.59397092e+00,4.88020229e+00,4.73472971e+00
1.30000000e+00,3.27372313e+00,3.19320139e+00,4.02127361e+00,3.92925157e+00,4.38184166e+00,4.26902109e+00,4.60864496e+00,4.49359526e+00,4.76997709e+00,4.63091804e+00
1.32000000e+00,3.20364380e+00,3.12523985e+00,3.93319488e+00,3.84481571e+00,4.28462744e+00,4.17665534e+00,4.50551510e+00,4.39586612e+00,4.66254950e+00,4.52985978e+00
1.34000000e+00,3.13520002e+00,3.05898093e+00,3.84724951e+00,3.76253949e+00,4.18979883e+00,4.08668176e+00,4.40495396e+00,4.30069119e+00,4.55784416e+00,4.43145828e+00
1.36000000e+00,3.06834650e+00,2.99436876e+00,3.76337171e+00,3.68235030e+00,4.09731340e+00,3.99901879e+00,4.30691385e+00,4.20798251e+00,4.45578957e+00,4.33562143e+00
1.38000000e+00,3.00304341e+00,2.93134996e+00,3.68151259e+00,3.60417880e+00,4.00708723e+00,3.91358860e+00,4.21130705e+00,4.11765615e+00,4.35629606e+00,4.24226138e+00
1.40000000e+00,2.93924260e+00,2.86987350e+00,3.60159922e+00,3.52795877e+00,3.91907716e+00,3.83031684e+00,4.11808729e+00,4.02963198e+00,4.25930500e+00,4.15129430e+00
