D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
5.00000000e-01,1.89639939e+00,1.87585549e+00,3.32868158e+00,3.27028872e+00,4.30717404e+00,4.30008497e+00,4.75964178e+00,4.83453279e+00,4.93435709e+00,5.07712122e+00
5.20000000e-01,1.88869458e+00,1.86648822e+00,3.30159648e+00,3.24516354e+00,4.25448252e+00,4.25310269e+00,4.69217653e+00,4.76975321e+00,4.86069746e+00,5.00139034e+00
5.40000000e-01,1.88079134e+00,1.85705564e+00,3.27451261e+00,3.22015757e+00,4.20302915e+00,4.20685813e+00,4.62690016e+00,4.70646183e+00,4.78965403e+00,4.92771824e+00
5.60000000e-01,1.87269852e+00,1.84756210e+00,3.24746124e+00,3.19527352e+00,4.15276730e+00,4.16132913e+00,4.56367646e+00,4.64459399e+00,4.72104756e+00,4.85600222e+00
5.80000000e-01,1.86442484e+00,1.83801169e+00,3.22046987e+00,3.17051388e+00,4.10365163e+00,4.11649485e+00,4.50238141e+00,4.58408982e+00,4.65471660e+00,4.78614777e+00
6.00000000e-01,1.85597890e+00,1.82840830e+00,3.19356266e+00,3.14588089e+00,4.05563832e+00,4.07233570e+00,4.44290178e+00,4.52489368e+00,4.59051524e+00,4.71806768e+00
6.20000000e-01,1.84736917e+00,1.81875563e+00,3.16676077e+00,3.12137657e+00,4.00868518e+00,4.02883314e+00,4.38513398e+00,4.46695378e+00,4.52831117e+00,4.65168123e+00
6.40000000e-01,1.83860397e+00,1.80905720e+00,3.14008263e+00,3.09700275e+00,3.96275172e+00,3.98596969e+00,4.32898293e+00,4.41022178e+00,4.46798403e+00,4.58691353e+00
6.60000000e-01,1.82969145e+00,1.79931637e+00,3.11354427e+00,3.07276109e+00,3.91779917e+00,3.94372875e+00,4.27436123e+00,4.35465242e+00,4.40942405e+00,4.52369496e+00
6.80000000e-01,1.82063956e+00,1.78953635e+00,3.08715956e+00,3.04865309e+00,3.87379046e+00,3.90209455e+00,4.22118834e+00,4.30020331e+00,4.35253081e+00,4.46196061e+00
7.00000000e-01,1.81145608e+00,1.77972020e+00,3.06094044e+00,3.02468010e+00,3.83069023e+00,3.86105211e+00,4.16938988e+00,4.24683459e+00,4.29721221e+00,4.40164986e+00
7.20000000e-01,1.80214862e+00,1.76987086e+00,3.03489714e+00,3.00084333e+00,3.78846473e+00,3.82058714e+00,4.11889705e+00,4.19450877e+00,4.24338361e+00,4.34270599e+00
7.40000000e-01,1.79272453e+00,1.75999115e+00,3.00903836e+00,2.97714386e+00,3.74708180e+00,3.78068602e+00,4.06964604e+00,4.14319051e+00,4.19096702e+00,4.28507582e+00
7.60000000e-01,1.78319101e+00,1.75008375e+00,2.98337147e+00,2.95358266e+00,3.70651080e+00,3.74133570e+00,4.02157763e+00,4.09284641e+00,4.13989040e+00,4.22870940e+00
7.80000000e-01,1.77355501e+00,1.74015126e+00,2.95790260e+00,2.93016060e+00,3.66672255e+00,3.70252373e+00,3.97463670e+00,4.04344492e+00,4.09008713e+00,4.17355975e+00
8.00000000e-01,1.76382329e+00,1.73019616e+00,2.93263685e+00,2.90687843e+00,3.62768925e+00,3.66423816e+00,3.92877190e+00,3.99495611e+00,4.04149543e+00,4.11958260e+00
8.20000000e-01,1.75400238e+00,1.72022086e+00,2.90757834e+00,2.88373683e+00,3.58938443e+00,3.62646753e+00,3.88393532e+00,3.94735164e+00,3.99405793e+00,4.06673618e+00
8.40000000e-01,1.74409862e+00,1.71022765e+00,2.88273039e+00,2.86073639e+00,3.55178288e+00,3.58920082e+00,3.84008215e+00,3.90060456e+00,3.94772123e+00,4.01498103e+00
