D,Num_s0.05,New_s0.05,Num_s0.10,New_s0.10,Num_s0.15,New_s0.15,Num_s0.20,New_s0.20,Num_s0.25,New_s0.25
8.60000000e-01,2.70083782e+00,2.75083358e+00,2.90694756e+00,2.96652529e+00,2.99639301e+00,3.06137224e+00,3.05401383e+00,3.11823526e+00,3.08873816e+00,3.15738022e+00
8.80000000e-01,2.67223223e+00,2.71653883e+00,2.87683820e+00,2.93059879e+00,2.96552553e+00,3.02465342e+00,3.02261848e+00,3.08100044e+00,3.05700856e+00,3.11976583e+00
9.00000000e-01,2.64417425e+00,2.68291420e+00,2.84729134e+00,2.89534732e+00,2.93523017e+00,2.98861502e+00,2.99180276e+00,3.04445085e+00,3.02586372e+00,3.08284089e+00
9.20000000e-01,2.61664112e+00,2.64993835e+00,2.81828402e+00,2.86075012e+00,2.90548382e+00,2.95323638e+00,2.96154343e+00,3.00856582e+00,2.99528026e+00,3.04658468e+00
9.40000000e-01,2.58961156e+00,2.61759099e+00,2.78979475e+00,2.82678743e+00,2.87626481e+00,2.91849782e+00,2.93181869e+00,2.97332565e+00,2.96523630e+00,3.01097748e+00
9.60000000e-01,2.56306561e+00,2.58585282e+00,2.76180339e+00,2.79344039e+00,2.84755285e+00,2.88438057e+00,2.90260809e+00,2.93871157e+00,2.93571128e+00,2.97600043e+00
9.80000000e-01,2.53698457e+00,2.55470540e+00,2.73429101e+00,2.76069105e+00,2.81932887e+00,2.85086671e+00,2.87389244e+00,2.90470563e+00,2.90668591e+00,2.94163556e+00
1.00000000e+00,2.51135084e+00,2.52413118e+00,2.70723984e+00,2.72852222e+00,2.79157492e+00,2.81793913e+00,2.84565365e+00,2.87129069e+00,2.87814202e+00,2.90786569e+00
1.02000000e+00,2.48614790e+00,2.49411339e+00,2.68063314e+00,2.69691750e+00,2.76427412e+00,2.78558145e+00,2.81787472e+00,2.83845036e+00,2.85006251e+00,2.87467436e+00
1.04000000e+00,2.46136016e+00,2.46463600e+00,2.65445513e+00,2.66586119e+00,2.73741054e+00,2.75377803e+00,2.79053959e+00,2.80616894e+00,2.82243121e+00,2.84204584e+00
1.06000000e+00,2.43697294e+00,2.43568368e+00,2.62869093e+00,2.63533824e+00,2.71096916e+00,2.72251384e+00,2.76363310e+00,2.77443140e+00,2.79523290e+00,2.80996505e+00
1.08000000e+00,2.41297236e+00,2.40724175e+00,2.60332649e+00,2.60533427e+00,2.68493577e+00,2.69177450e+00,2.73714093e+00,2.74322333e+00,2.76845314e+00,2.77841752e+00
1.10000000e+00,2.38934533e+00,2.37929615e+00,2.57834851e+00,2.57583544e+00,2.65929693e+00,2.66154622e+00,2.71104952e+00,2.71253089e+00,2.74207830e+00,2.74738938e+00
1.12000000e+00,2.36607946e+00,2.35183341e+00,2.55374440e+00,2.54682851e+00,2.63403991e+00,2.63181575e+00,2.68534601e+00,2.68234079e+00,2.71609544e+00,2.71686729e+00
1.14000000e+00,2.34316299e+00,2.32484060e+00,2.52950223e+00,2.51830074e+00,2.60915265e+00,2.60257035e+00,2.66001822e+00,2.65264028e+00,2.69049230e+00,2.68683845e+00
1.16000000e+00,2.32058480e+00,2.29830531e+00,2.50561070e+00,2.49023990e+00,2.58462370e+00,2.57379780e+00,2.63505460e+00,2.62341708e+00,2.66525721e+00,2.65729054e+00
1.18000000e+00,2.29833434e+00,2.27221561e+00,2.48205906e+00,2.46263422e+00,2.56044217e+00,2.54548632e+00,2.61044414e+00,2.59465939e+00,2.64037912e+00,2.62821171e+00
1.20000000e+00,2.27640158e+00,2.24656004e+00,2.45883710e+00,2.43547238e+00,2.53659774e+00,2.51762459e+00,2.58617639e+00,2.56635585e+00,2.61584750e+00,2.59959055e+00
1.22000000e+00,2.25477699e+00,2.22132757e+00,2.43593511e+00,2.40874349e+00,2.51308055e+00,2.49020169e+00,2.56224142e+00,2.53849549e+00,2.59165231e+00,2.57141606e+00
1.24000000e+00,2.23345151e+00,2.19650760e+00,2.41334386e+00,2.38243703e+00,2.48988124e+00,2.46320711e+00,2.53862972e+00,2.51106777e+00,2.56778401e+00,2.54367765e+00
1.26000000e+00,2.21241650e+00,2.17208991e+00,2.39105453e+00,2.35654290e+00,2.46699086e+00,2.43663072e+00,2.51533228e+00,2.48406251e+00,2.54423347e+00,2.51636510e+00
1.28000000e+00,2.19166374e+00,2.14806465e+00,2.36905873e+00,2.33105132e+00,2.44440091e+00,2.41046272e+00,2.49234046e+00,2.45746990e+00,2.52099200e+00,2.48946854e+00
1.30000000e+00,2.17118539e+00,2.12442233e+00,2.34734845e+00,2.30595289e+00,2.42210325e+00,2.38469368e+00,2.46964602e+00,2.43128044e+00,2.49805130e+00,2.46297845e+00
1.32000000e+00,2.15097397e+00,2.10115379e+00,2.32591603e+00,2.28123850e+00,2.40009010e+00,2.35931449e+00,2.44724110e+00,2.40548498e+00,2.47540343e+00,2.43688562e+00
1.34000000e+00,2.13102234e+00,2.07825021e+00,2.30475416e+00,2.25689938e+00,2.37835403e+00,2.33431632e+00,2.42511817e+00,2.38007467e+00,2.45304078e+00,2.41118118e+00
1.36000000e+00,2.11132367e+00,2.05570305e+00,2.28385586e+00,2.23292705e+00,2.35688793e+00,2.30969068e+00,2.40327001e+00,2.35504096e+00,2.43095609e+00,2.38585652e+00
1.38000000e+00,2.09187142e+00,2.03350407e+00,2.26321442e+00,2.20931328e+00,2.33568500e+00,2.28542931e+00,2.38168974e+00,2.33037557e+00,2.40914239e+00,2.36090333e+00
1.40000000e+00,2.07265936e+00,2.01164531e+00,2.24282345e+00,2.18605015e+00,2.31473871e+00,2.26152425e+00,2.36037074e+00,2.30607049e+00,2.38759301e+00,2.33631356e+00
1.42000000e+00,2.05368150e+00,1.99011908e+00,2.22267680e+00,2.16312998e+00,2.29404282e+00,2.23796780e+00,2.33930667e+00,2.28211796e+00,2.36630154e+00,2.31207941e+00
1.44000000e+00,2.03493212e+00,1.96891792e+00,2.20276858e+00,2.14054534e+00,2.27359133e+00,2.21475247e+00,2.31849144e+00,2.25851049e+00,2.34526184e+00,2.28819333e+00
1.46000000e+00,2.01640571e+00,1.94803464e+00,2.18309316e+00,2.11828901e+00,2.25337849e+00,2.19187104e+00,2.29791922e+00,2.23524079e+00,2.32446801e+00,2.26464803e+00
1.48000000e+00,1.99809702e+00,1.92746226e+00,2.16364510e+00,2.09635404e+00,2.23339877e+00,2.16931649e+00,2.27758440e+00,2.21230181e+00,2.30391438e+00,2.24143639e+00
1.50000000e+00,1.98000099e+00,1.90719402e+00,2.14441921e+00,2.07473365e+00,2.21364686e+00,2.14708203e+00,2.25748158e+00,2.18968671e+00,2.28359550e+00,2.21855155e+00
1.52000000e+00,1.96211277e+00,1.88722338e+00,2.12541049e+00,2.05342129e+00,2.19411766e+00,2.12516105e+00,2.23760558e+00,2.16738886e+00,2.26350614e+00,2.19598685e+00
1.54000000e+00,1.94442768e+00,1.86754400e+00,2.10661411e+00,2.03241060e+00,2.17480626e+00,2.10354717e+00,2.21795141e+00,2.14540183e+00,2.24364124e+00,2.17373580e+00
1.56000000e+00,1.92694125e+00,1.84814973e+00,2.08802546e+00,2.01169542e+00,2.15570793e+00,2.08223417e+00,2.19851427e+00,2.12371936e+00,2.22399595e+00,2.15179212e+00
1.58000000e+00,1.90964917e+00,1.82903461e+00,2.06964009e+00,1.99126976e+00,2.13681813e+00,2.06121603e+00,2.17928952e+00,2.10233539e+00,2.20456560e+00,2.13014971e+00
1.60000000e+00,1.89254728e+00,1.81019285e+00,2.05145370e+00,1.97112779e+00,2.11813247e+00,2.04048689e+00,2.16027273e+00,2.08124402e+00,2.18534568e+00,2.10880264e+00
1.62000000e+00,1.87563160e+00,1.79161884e+00,2.03346217e+00,1.95126388e+00,2.09964674e+00,2.02004106e+00,2.14145958e+00,2.06043954e+00,2.16633183e+00,2.08774516e+00
1.64000000e+00,1.85889829e+00,1.77330713e+00,2.01566152e+00,1.93167254e+00,2.08135685e+00,1.99987302e+00,2.12284595e+00,2.03991636e+00,2.14751988e+00,2.06697166e+00
1.66000000e+00,1.84234362e+00,1.75525243e+00,1.99804790e+00,1.91234844e+00,2.06325888e+00,1.97997739e+00,2.10442781e+00,2.01966909e+00,2.12890576e+00,2.04647670e+00
1.68000000e+00,1.82596404e+00,1.73744958e+00,1.98061762e+00,1.89328638e+00,2.04534905e+00,1.96034894e+00,2.08620133e+00,1.99969246e+00,2.11048558e+00,2.02625497e+00
1.70000000e+00,1.80975609e+00,1.71989360e+00,1.96336710e+00,1.87448134e+00,2.02762369e+00,1.94098260e+00,2.06816277e+00,1.97998135e+00,2.09225557e+00,2.00630134e+00
1.72000000e+00,1.79371646e+00,1.70257963e+00,1.94629289e+00,1.85592841e+00,2.01007927e+00,1.92187341e+00,2.05030853e+00,1.96053077e+00,2.07421207e+00,1.98661079e+00
1.74000000e+00,1.77784194e+00,1.68550294e+00,1.92939166e+00,1.83762281e+00,1.99271237e+00,1.90301657e+00,2.03263514e+00,1.94133588e+00,2.05635157e+00,1.96717842e+00
1.76000000e+00,1.76212943e+00,1.66865894e+00,1.91266019e+00,1.81955991e+00,1.97551970e+00,1.88440738e+00,2.01513922e+00,1.92239195e+00,2.03867066e+00,1.94799950e+00
1.78000000e+00,1.74657594e+00,1.65204317e+00,1.89609537e+00,1.80173517e+00,1.95849806e+00,1.86604129e+00,1.99781753e+00,1.90369439e+00,2.02116604e+00,1.92906939e+00
1.80000000e+00,1.73117857e+00,1.63565127e+00,1.87969419e+00,1.78414421e+00,1.94164436e+00,1.84791384e+00,1.98066692e+00,1.88523871e+00,2.00383453e+00,1.91038358e+00
1.82000000e+00,1.71593454e+00,1.61947902e+00,1.86345374e+00,1.76678273e+00,1.92495562e+00,1.83002072e+00,1.96368434e+00,1.86702055e+00,1.98667303e+00,1.89193767e+00
1.84000000e+00,1.70084113e+00,1.60352229e+00,1.84737120e+00,1.74964655e+00,1.90842894e+00,1.81235769e+00,1.94686683e+00,1.84903566e+00,1.96967856e+00,1.87372738e+00
1.86000000e+00,1.68589575e+00,1.58777707e+00,1.83144384e+00,1.73273160e+00,1.89206154e+00,1.79492064e+00,1.93021155e+00,1.83127988e+00,1.95284823e+00,1.85574854e+00
1.88000000e+00,1.67109584e+00,1.57223945e+00,1.81566903e+00,1.71603392e+00,1.87585068e+00,1.77770556e+00,1.91371573e+00,1.81374917e+00,1.93617922e+00,1.83799707e+00
1.90000000e+00,1.65643898e+00,1.55690562e+00,1.80004421e+00,1.69954963e+00,1.85979375e+00,1.76070855e+00,1.89737667e+00,1.79643958e+00,1.91966882e+00,1.82046900e+00
1.92000000e+00,1.64192278e+00,1.54177187e+00,1.78456690e+00,1.68327496e+00,1.84388819e+00,1.74392578e+00,1.88119179e+00,1.77934728e+00,1.90331439e+00,1.80316045e+00
1.94000000e+00,1.62754494e+00,1.52683459e+00,1.76923469e+00,1.66720623e+00,1.82813154e+00,1.72735354e+00,1.86515856e+00,1.76246849e+00,1.88711337e+00,1.78606763e+00
1.96000000e+00,1.61330325e+00,1.51209024e+00,1.75404527e+00,1.65133984e+00,1.81252140e+00,1.71098818e+00,1.84927453e+00,1.74579956e+00,1.87106329e+00,1.76918686e+00
