D,NN_z0.5,NN_z1.0,NN_z2.0,NN_z4.0,NN_z7.0,NN_z11.0,PBE_z0.5,PBE_z1.0,PBE_z2.0,PBE_z4.0,PBE_z7.0,PBE_z11.0
2.00000000e+00,5.67700826e-02,2.34695196e-01,7.85990417e-01,2.20516372e+00,3.32471609e+00,3.79089117e+00,3.78633027e-02,2.28202798e-01,8.08629549e-01,2.18894601e+00,3.36651064e+00,3.71143072e+00
2.02000000e+00,5.57995252e-02,2.30440289e-01,7.71950841e-01,2.16284132e+00,3.25590229e+00,3.71490860e+00,3.71995865e-02,2.24157169e-01,7.93838886e-01,2.14634433e+00,3.29785091e+00,3.63470736e+00
2.04000000e+00,5.48439138e-02,2.26259604e-01,7.58176923e-01,2.12132382e+00,3.18878222e+00,3.64053345e+00,3.65460393e-02,2.20175951e-01,7.79308123e-01,2.10462577e+00,3.23076841e+00,3.55979486e+00
2.06000000e+00,5.39034232e-02,2.22155243e-01,7.44662702e-01,2.08060431e+00,3.12331057e+00,3.56772304e+00,3.59025561e-02,2.16258367e-01,7.65032973e-01,2.06376929e+00,3.16521862e+00,3.48664001e+00
2.08000000e+00,5.29775955e-02,2.18122289e-01,7.31403708e-01,2.04066300e+00,3.05943656e+00,3.49645662e+00,3.52690312e-02,2.12403641e-01,7.51009209e-01,2.02375447e+00,3.10115860e+00,3.41519158e+00
2.10000000e+00,5.20661958e-02,2.14161679e-01,7.18392551e-01,2.00148010e+00,2.99710226e+00,3.42666698e+00,3.46453581e-02,2.08610999e-01,7.37232664e-01,1.98456146e+00,3.03854696e+00,3.34540027e+00
2.12000000e+00,5.11689223e-02,2.10271373e-01,7.05625176e-01,1.96305346e+00,2.93627405e+00,3.35833478e+00,3.40314301e-02,2.04879666e-01,7.23699233e-01,1.94617101e+00,2.97734377e+00,3.27721861e+00
2.14000000e+00,5.02859354e-02,2.06450000e-01,6.93093956e-01,1.92536104e+00,2.87689376e+00,3.29142118e+00,3.34271396e-02,2.01208871e-01,7.10404867e-01,1.90856440e+00,2.91751052e+00,3.21060087e+00
2.16000000e+00,4.94165123e-02,2.02696517e-01,6.80795014e-01,1.88838720e+00,2.81892610e+00,3.22588611e+00,3.28323788e-02,1.97597842e-01,6.97345581e-01,1.87172345e+00,2.85901003e+00,3.14550298e+00
2.18000000e+00,4.85607833e-02,1.99009538e-01,6.68723881e-01,1.85212922e+00,2.76232505e+00,3.16169858e+00,3.22470394e-02,1.94045811e-01,6.84517444e-01,1.83563051e+00,2.80180639e+00,3.08188248e+00
