D,p,source,u
3.60000000e-01,1.3308,NN,2.66037846e+00
3.60000000e-01,1.3308,PBE,2.70707002e+00
3.80000000e-01,0.2662,NN,1.13384771e+00
3.80000000e-01,0.2662,PBE,9.11798086e-01
3.80000000e-01,0.5324,NN,1.73683155e+00
3.80000000e-01,0.5324,PBE,1.84835594e+00
3.80000000e-01,0.7985,NN,2.11705923e+00
3.80000000e-01,0.7985,PBE,2.11942548e+00
3.80000000e-01,1.0647,NN,2.39152861e+00
3.80000000e-01,1.0647,PBE,2.33143706e+00
3.80000000e-01,1.3308,NN,2.60473323e+00
3.80000000e-01,1.3308,PBE,2.65119943e+00
4.00000000e-01,0.2662,NN,1.09182394e+00
4.00000000e-01,0.2662,PBE,8.74738220e-01
4.00000000e-01,0.5324,NN,1.68746662e+00
4.00000000e-01,0.5324,PBE,1.79858948e+00
4.00000000e-01,0.7985,NN,2.06570888e+00
4.00000000e-01,0.7985,PBE,2.06828263e+00
4.00000000e-01,1.0647,NN,2.33924556e+00
4.00000000e-01,1.0647,PBE,2.27946193e+00
4.00000000e-01,1.3308,NN,2.55181503e+00
4.00000000e-01,1.3308,PBE,2.59813113e+00
4.20000000e-01,0.2662,NN,1.05256677e+00
4.20000000e-01,0.2662,PBE,8.40333915e-01
4.20000000e-01,0.5324,NN,1.64078641e+00
4.20000000e-01,0.5324,PBE,1.75143627e+00
4.20000000e-01,0.7985,NN,2.01692581e+00
4.20000000e-01,0.7985,PBE,2.01971266e+00
4.20000000e-01,1.0647,NN,2.28946543e+00
4.20000000e-01,1.0647,PBE,2.23003801e+00
4.20000000e-01,1.3308,NN,2.50136733e+00
4.20000000e-01,1.3308,PBE,2.54759427e+00
4.40000000e-01,0.2662,NN,1.01580930e+00
4.40000000e-01,0.2662,PBE,8.08316853e-01
4.40000000e-01,0.5324,NN,1.59655249e+00
4.40000000e-01,0.5324,PBE,1.70666076e+00
4.40000000e-01,0.7985,NN,1.97048116e+00
4.40000000e-01,0.7985,PBE,1.97348171e+00
4.40000000e-01,1.0647,NN,2.24196649e+00
4.40000000e-01,1.0647,PBE,2.18293197e+00
4.40000000e-01,1.3308,NN,2.45317078e+00
4.40000000e-01,1.3308,PBE,2.49935582e+00
4.60000000e-01,0.2662,NN,9.81316566e-01
4.60000000e-01,0.2662,PBE,7.78453474e-01
4.60000000e-01,0.5324,NN,1.55455518e+00
4.60000000e-01,0.5324,PBE,1.66405846e+00
4.60000000e-01,0.7985,NN,1.92617941e+00
4.60000000e-01,0.7985,PBE,1.92938697e+00
4.60000000e-01,1.0647,NN,2.19655585e+00
4.60000000e-01,1.0647,PBE,2.13794155e+00
4.60000000e-01,1.3308,NN,2.40703750e+00
4.60000000e-01,1.3308,PBE,2.45321383e+00
4.80000000e-01,0.2662,NN,9.48886275e-01
4.80000000e-01,0.2662,PBE,7.50539409e-01
4.80000000e-01,0.5324,NN,1.51461005e+00
4.80000000e-01,0.5324,PBE,1.62345062e+00
4.80000000e-01,0.7985,NN,1.88384652e+00
4.80000000e-01,0.7985,PBE,1.88725142e+00
4.80000000e-01,1.0647,NN,2.15306640e+00
4.80000000e-01,1.0647,PBE,2.09489027e+00
4.80000000e-01,1.3308,NN,2.36279988e+00
4.80000000e-01,1.3308,PBE,2.40899214e+00
5.00000000e-01,0.2662,NN,9.18337166e-01
5.00000000e-01,0.2662,PBE,7.24394994e-01
5.00000000e-01,0.5324,NN,1.47655547e+00
5.00000000e-01,0.5324,PBE,1.58468003e+00
5.00000000e-01,0.7985,NN,1.84333086e+00
5.00000000e-01,0.7985,PBE,1.84691955e+00
5.00000000e-01,1.0647,NN,2.11134934e+00
5.00000000e-01,1.0647,PBE,2.05362322e+00
5.00000000e-01,1.3308,NN,2.32030892e+00
5.00000000e-01,1.3308,PBE,2.36653618e+00
5.20000000e-01,0.2662,NN,8.89510870e-01
5.20000000e-01,0.2662,PBE,6.99861616e-01
5.20000000e-01,0.5324,NN,1.44024801e+00
5.20000000e-01,0.5324,PBE,1.54760765e+00
5.20000000e-01,0.7985,NN,1.80449688e+00
5.20000000e-01,0.7985,PBE,1.80825406e+00
5.20000000e-01,1.0647,NN,2.07127166e+00
5.20000000e-01,1.0647,PBE,2.01400367e+00
5.20000000e-01,1.3308,NN,2.27943611e+00
5.20000000e-01,1.3308,PBE,2.32570953e+00
5.40000000e-01,0.2662,NN,8.62265825e-01
5.40000000e-01,0.2662,PBE,6.76798703e-01
5.40000000e-01,0.5324,NN,1.40555942e+00
5.40000000e-01,0.5324,PBE,1.51210989e+00
5.40000000e-01,0.7985,NN,1.76722515e+00
5.40000000e-01,0.7985,PBE,1.77113304e+00
5.40000000e-01,1.0647,NN,2.03271842e+00
5.40000000e-01,1.0647,PBE,1.97591032e+00
5.40000000e-01,1.3308,NN,2.24006581e+00
5.40000000e-01,1.3308,PBE,2.28639125e+00
5.60000000e-01,0.2662,NN,8.36477101e-01
5.60000000e-01,0.2662,PBE,6.55081237e-01
5.60000000e-01,0.5324,NN,1.37237489e+00
5.60000000e-01,0.5324,PBE,1.47807630e+00
5.60000000e-01,0.7985,NN,1.73140788e+00
5.60000000e-01,0.7985,PBE,1.73544779e+00
5.60000000e-01,1.0647,NN,1.99558473e+00
5.60000000e-01,1.0647,PBE,1.93923503e+00
5.60000000e-01,1.3308,NN,2.20209479e+00
5.60000000e-01,1.3308,PBE,2.24847357e+00
5.80000000e-01,0.2662,NN,8.12030792e-01
5.80000000e-01,0.2662,PBE,6.34597665e-01
5.80000000e-01,0.5324,NN,1.34058905e+00
5.80000000e-01,0.5324,PBE,1.44540779e+00
5.80000000e-01,0.7985,NN,1.69694781e+00
5.80000000e-01,0.7985,PBE,1.70110091e+00
5.80000000e-01,1.0647,NN,1.95977652e+00
5.80000000e-01,1.0647,PBE,1.90388104e+00
5.80000000e-01,1.3308,NN,2.16543126e+00
5.80000000e-01,1.3308,PBE,2.21186007e+00
6.00000000e-01,0.2662,NN,7.88826227e-01
6.00000000e-01,0.2662,PBE,6.15248147e-01
6.00000000e-01,0.5324,NN,1.31011093e+00
6.00000000e-01,0.5324,PBE,1.41401509e+00
6.00000000e-01,0.7985,NN,1.66375697e+00
6.00000000e-01,0.7985,PBE,1.66800479e+00
6.00000000e-01,1.0647,NN,1.92520869e+00
6.00000000e-01,1.0647,PBE,1.86976134e+00
6.00000000e-01,1.3308,NN,2.12999082e+00
6.00000000e-01,1.3308,PBE,2.17646412e+00
6.20000000e-01,0.2662,NN,7.66771913e-01
6.20000000e-01,0.2662,PBE,5.96943079e-01
6.20000000e-01,0.5324,NN,1.28085637e+00
6.20000000e-01,0.5324,PBE,1.38381743e+00
6.20000000e-01,0.7985,NN,1.63175738e+00
6.20000000e-01,0.7985,PBE,1.63608034e+00
6.20000000e-01,1.0647,NN,1.89180493e+00
6.20000000e-01,1.0647,PBE,1.83679745e+00
6.20000000e-01,1.3308,NN,2.09569740e+00
6.20000000e-01,1.3308,PBE,2.14220761e+00
6.40000000e-01,0.2662,NN,7.45785773e-01
6.40000000e-01,0.2662,PBE,5.79601824e-01
6.40000000e-01,0.5324,NN,1.25274658e+00
6.40000000e-01,0.5324,PBE,1.35474150e+00
6.40000000e-01,0.7985,NN,1.60087633e+00
6.40000000e-01,0.7985,PBE,1.60525589e+00
6.40000000e-01,1.0647,NN,1.85949504e+00
6.40000000e-01,1.0647,PBE,1.80491831e+00
6.40000000e-01,1.3308,NN,2.06248045e+00
6.40000000e-01,1.3308,PBE,2.10901988e+00
6.60000000e-01,0.2662,NN,7.25792468e-01
6.60000000e-01,0.2662,PBE,5.63151634e-01
6.60000000e-01,0.5324,NN,1.22571194e+00
6.60000000e-01,0.5324,PBE,1.32672052e+00
6.60000000e-01,0.7985,NN,1.57104743e+00
6.60000000e-01,0.7985,PBE,1.57546627e+00
6.60000000e-01,1.0647,NN,1.82821536e+00
6.60000000e-01,1.0647,PBE,1.77405938e+00
6.60000000e-01,1.3308,NN,2.03028154e+00
6.60000000e-01,1.3308,PBE,2.07683675e+00
6.80000000e-01,0.2662,NN,7.06724823e-01
6.80000000e-01,0.2662,PBE,5.47526728e-01
6.80000000e-01,0.5324,NN,1.19968843e+00
6.80000000e-01,0.5324,PBE,1.29969349e+00
6.80000000e-01,0.7985,NN,1.54221189e+00
6.80000000e-01,0.7985,PBE,1.54665205e+00
6.80000000e-01,1.0647,NN,1.79790831e+00
6.80000000e-01,1.0647,PBE,1.74416185e+00
6.80000000e-01,1.3308,NN,1.99903989e+00
6.80000000e-01,1.3308,PBE,2.04559982e+00
7.00000000e-01,0.2662,NN,6.88520074e-01
7.00000000e-01,0.2662,PBE,5.32667486e-01
7.00000000e-01,0.5324,NN,1.17461729e+00
7.00000000e-01,0.5324,PBE,1.27360449e+00
7.00000000e-01,0.7985,NN,1.51431346e+00
7.00000000e-01,0.7985,PBE,1.51875887e+00
7.00000000e-01,1.0647,NN,1.76851916e+00
7.00000000e-01,1.0647,PBE,1.71517197e+00
7.00000000e-01,1.3308,NN,1.96870387e+00
7.00000000e-01,1.3308,PBE,2.01525573e+00
7.20000000e-01,0.2662,NN,6.71122134e-01
7.20000000e-01,0.2662,PBE,5.18519760e-01
7.20000000e-01,0.5324,NN,1.15044427e+00
7.20000000e-01,0.5324,PBE,1.24840215e+00
7.20000000e-01,0.7985,NN,1.48730063e+00
7.20000000e-01,0.7985,PBE,1.49173687e+00
7.20000000e-01,1.0647,NN,1.74000025e+00
7.20000000e-01,1.0647,PBE,1.68704049e+00
7.20000000e-01,1.3308,NN,1.93922591e+00
7.20000000e-01,1.3308,PBE,1.98575564e+00
7.40000000e-01,0.2662,NN,6.54479444e-01
7.40000000e-01,0.2662,PBE,5.05034268e-01
