D,NN_E_z1.93,Num_E_z1.93,NN_E_z3.87,Num_E_z3.87,NN_E_z5.80,Num_E_z5.80,NN_E_z7.74,Num_E_z7.74,NN_E_z9.67,Num_E_z9.67
2.26000000e+00,5.89178383e-01,6.35439866e-01,1.65185475e+00,1.60398311e+00,2.29410815e+00,2.34078161e+00,2.68101168e+00,2.69078182e+00,2.88691497e+00,2.82429658e+00
2.28000000e+00,5.78732252e-01,6.23710580e-01,1.62052035e+00,1.57329739e+00,2.24708915e+00,2.29481485e+00,2.62900138e+00,2.63727036e+00,2.83088899e+00,2.76785381e+00
2.30000000e+00,5.68476200e-01,6.12190082e-01,1.58977509e+00,1.54321979e+00,2.20118165e+00,2.24982053e+00,2.57810664e+00,2.58492392e+00,2.77597117e+00,2.71265316e+00
2.32000000e+00,5.58405221e-01,6.00874840e-01,1.55961263e+00,1.51373699e+00,2.15635300e+00,2.20577460e+00,2.52830005e+00,2.53371225e+00,2.72215128e+00,2.65866181e+00
2.34000000e+00,5.48515618e-01,5.89761379e-01,1.53002203e+00,1.48483602e+00,2.11257386e+00,2.16265373e+00,2.47955036e+00,2.48360608e+00,2.66937828e+00,2.60584804e+00
2.36000000e+00,5.38803816e-01,5.78846275e-01,1.50099635e+00,1.45650427e+00,2.06982827e+00,2.12043531e+00,2.43182516e+00,2.43457710e+00,2.61764431e+00,2.55418117e+00
2.38000000e+00,5.29265881e-01,5.68126160e-01,1.47251976e+00,1.42872942e+00,2.02808118e+00,2.07909744e+00,2.38509655e+00,2.38659793e+00,2.56691718e+00,2.50363156e+00
2.40000000e+00,5.19897699e-01,5.57597717e-01,1.44458473e+00,1.40149949e+00,1.98729944e+00,2.03861886e+00,2.33934546e+00,2.33964205e+00,2.51718330e+00,2.45417050e+00
2.42000000e+00,5.10695636e-01,5.47257681e-01,1.41718400e+00,1.37480280e+00,1.94746590e+00,1.99897895e+00,2.29453874e+00,2.29368377e+00,2.46841359e+00,2.40577025e+00
2.44000000e+00,5.01657009e-01,5.37102840e-01,1.39030194e+00,1.34862796e+00,1.90855074e+00,1.96015770e+00,2.25065780e+00,2.24869822e+00,2.42058825e+00,2.35840392e+00
