D,NN_z1.93,NN_z3.87,NN_z5.80,NN_z7.74,NN_z9.66,PBE_z1.93,PBE_z3.87,PBE_z5.80,PBE_z7.74,PBE_z9.66
1.30000000e+00,1.46272361e+00,2.39369369e+00,2.83713937e+00,3.02150869e+00,3.10533071e+00,1.50499516e+00,2.36990685e+00,2.83736834e+00,3.03118392e+00,3.10201070e+00
1.32000000e+00,1.45254374e+00,2.37339735e+00,2.81111574e+00,2.99308515e+00,3.07561064e+00,1.49449417e+00,2.35002683e+00,2.81141650e+00,3.00250239e+00,3.07228685e+00
1.34000000e+00,1.44237649e+00,2.35330081e+00,2.78543496e+00,2.96507072e+00,3.04632854e+00,1.48400846e+00,2.33033094e+00,2.78580049e+00,2.97423111e+00,3.04300288e+00
1.36000000e+00,1.43222380e+00,2.33339739e+00,2.76009154e+00,2.93745732e+00,3.01747417e+00,1.47354012e+00,2.31081690e+00,2.76051214e+00,2.94635880e+00,3.01414623e+00
1.38000000e+00,1.42208803e+00,2.31368876e+00,2.73507619e+00,2.91023183e+00,2.98903227e+00,1.46309112e+00,2.29148242e+00,2.73554357e+00,2.91887465e+00,2.98570489e+00
1.40000000e+00,1.41197193e+00,2.29416943e+00,2.71038008e+00,2.88338423e+00,2.96099544e+00,1.45266334e+00,2.27232522e+00,2.71088719e+00,2.89176828e+00,2.95766736e+00
1.42000000e+00,1.40187669e+00,2.27483940e+00,2.68599677e+00,2.85690284e+00,2.93335080e+00,1.44225859e+00,2.25334305e+00,2.68653569e+00,2.86502976e+00,2.93002260e+00
1.44000000e+00,1.39180470e+00,2.25569463e+00,2.66191816e+00,2.83077812e+00,2.90608692e+00,1.43187856e+00,2.23453366e+00,2.66248201e+00,2.83864952e+00,2.90276006e+00
1.46000000e+00,1.38175786e+00,2.23673463e+00,2.63813782e+00,2.80500197e+00,2.87919235e+00,1.42152487e+00,2.21589482e+00,2.63871935e+00,2.81261841e+00,2.87586959e+00
1.48000000e+00,1.37173772e+00,2.21795583e+00,2.61464643e+00,2.77956104e+00,2.85266042e+00,1.41119906e+00,2.19742435e+00,2.61524114e+00,2.78692761e+00,2.84934148e+00
1.50000000e+00,1.36174428e+00,2.19935727e+00,2.59144187e+00,2.75445175e+00,2.82648230e+00,1.40090261e+00,2.17912006e+00,2.59204104e+00,2.76156864e+00,2.82316639e+00
1.52000000e+00,1.35178185e+00,2.18093491e+00,2.56851149e+00,2.72966099e+00,2.80064440e+00,1.39063690e+00,2.16097980e+00,2.56911292e+00,2.73653336e+00,2.79733534e+00
1.54000000e+00,1.34184992e+00,2.16268706e+00,2.54585242e+00,2.70518255e+00,2.77514124e+00,1.38040325e+00,2.14300145e+00,2.54645089e+00,2.71181394e+00,2.77183971e+00
1.56000000e+00,1.33195007e+00,2.14461160e+00,2.52345848e+00,2.68100977e+00,2.74996543e+00,1.37020291e+00,2.12518292e+00,2.52404921e+00,2.68740281e+00,2.74667122e+00
1.58000000e+00,1.32208347e+00,2.12670636e+00,2.50132465e+00,2.65713263e+00,2.72510624e+00,1.36003707e+00,2.10752213e+00,2.50190238e+00,2.66329272e+00,2.72182190e+00
