D,Num_z1.93,New_z1.93,Num_z3.87,New_z3.87,Num_z5.80,New_z5.80,Num_z7.74,New_z7.74,Num_z9.67,New_z9.67
1.04000000e+00,1.92222148e+00,1.88874168e+00,5.53085056e+00,5.44367512e+00,8.89433757e+00,8.60161635e+00,1.07193546e+01,1.00404800e+01,1.14623182e+01,1.06203500e+01
1.06000000e+00,1.88890175e+00,1.85621174e+00,5.41070704e+00,5.32529266e+00,8.67002515e+00,8.37801534e+00,1.04302450e+01,9.76200800e+00,1.11451529e+01,1.03226646e+01
1.08000000e+00,1.85609653e+00,1.82418211e+00,5.29363162e+00,5.20980097e+00,8.45314364e+00,8.16190028e+00,1.01517484e+01,9.49430680e+00,1.08400747e+01,1.00371328e+01
1.10000000e+00,1.82380106e+00,1.79264726e+00,5.17952778e+00,5.09711793e+00,8.24335765e+00,7.95295064e+00,9.88332466e+00,9.23682675e+00,1.05464423e+01,9.76308969e+00
1.12000000e+00,1.79201039e+00,1.76160162e+00,5.06830256e+00,4.98716426e+00,8.04035153e+00,7.75086313e+00,9.62446960e+00,8.98905347e+00,1.02636588e+01,9.49991657e+00
1.14000000e+00,1.76071945e+00,1.73103960e+00,4.95986646e+00,4.87986336e+00,7.84382785e+00,7.55535056e+00,9.37471204e+00,8.75050516e+00,9.99116791e+00,9.24703661e+00
1.16000000e+00,1.72992306e+00,1.70095557e+00,4.85413329e+00,4.77514121e+00,7.65350619e+00,7.36614078e+00,9.13361113e+00,8.52073006e+00,9.72845072e+00,9.00391165e+00
1.18000000e+00,1.69961591e+00,1.67134388e+00,4.75102005e+00,4.67292627e+00,7.46912190e+00,7.18297574e+00,8.90075394e+00,8.29930421e+00,9.47502247e+00,8.77003897e+00
1.20000000e+00,1.66979258e+00,1.64219886e+00,4.65044680e+00,4.57314939e+00,7.29042505e+00,7.00561056e+00,8.67575331e+00,8.08582936e+00,9.23042989e+00,8.54494852e+00
1.22000000e+00,1.64044758e+00,1.61351484e+00,4.55233653e+00,4.47574367e+00,7.11717938e+00,6.83381277e+00,8.45824585e+00,7.87993111e+00,8.99424861e+00,8.32820030e+00
1.24000000e+00,1.61157535e+00,1.58528615e+00,4.45661507e+00,4.38064441e+00,6.94916142e+00,6.66736148e+00,8.24789015e+00,7.68125716e+00,8.76608092e+00,8.11938212e+00
1.26000000e+00,1.58317026e+00,1.55750710e+00,4.36321094e+00,4.28778900e+00,6.78615962e+00,6.50604672e+00,8.04436513e+00,7.48947574e+00,8.54555371e+00,7.91810740e+00
1.28000000e+00,1.55522661e+00,1.53017202e+00,4.27205526e+00,4.19711687e+00,6.62797358e+00,6.34966875e+00,7.84736856e+00,7.30427414e+00,8.33231659e+00,7.72401327e+00
